,abv,ibu,id,name,style,brewery_id
1805,0.058,20.0,1392,Sanitas Saison Ale,Saison / Farmhouse Ale,419
1806,0.068,65.0,1391,Sanitas Black IPA,American Black Ale,419
1807,0.08900000000000001,88.0,2002,Giant DIPA,American Double / Imperial IPA,252
1808,0.054000000000000006,,1683,Dread Brown Ale,American Brown Ale,252
1809,0.07,,1362,Casinos IPA,English India Pale Ale (IPA),252
1810,0.055,30.0,1519,Saison 88,Saison / Farmhouse Ale,392
1811,0.071,95.0,967,Black IPA,American Black Ale,392
1812,0.045,,599,Santa Fe Irish Red Ale,Irish Red Ale,392
1813,,,307,Santa Fe Oktoberfest,Märzen / Oktoberfest,392
1814,0.08,,305,Imperial Java Stout,Russian Imperial Stout,392
1815,0.055,,304,Freestyle Pilsner,German Pilsener,392
1816,0.066,,217,Happy Camper IPA,American IPA,392
1817,0.05,11.0,1477,Oval Beach Blonde Ale,American Blonde Ale,398
1818,0.065,,1503,Oak Aged Cider,Cider,394
1819,0.065,,1466,Ginger Cider,Cider,394
1820,0.065,,1245,Schilling Hard Cider,Cider,394
1821,0.05,45.0,1324,Schlafly Yakima Wheat Ale,American Pale Wheat Ale,428
1822,0.05,,1323,Schlafly Black Lager,Schwarzbier,428
1823,0.045,30.0,1078,Schlafly IPA,American IPA,428
1824,0.05,30.0,1077,Schlafly American Brown Ale,American Brown Ale,428
1825,0.041,16.0,588,Schlafly Hefeweizen,Hefeweizen,428
1826,0.045,17.0,53,Schlafly Summer Lager,Munich Helles Lager,428
1827,0.047,,815,Sea Dog Wild Blueberry Wheat Ale,Fruit / Vegetable Beer,502
1828,0.07400000000000001,60.0,1302,Blur India Pale Ale,American IPA,432
1829,0.065,,1416,Dry Cider,Cider,411
1830,0.065,,1415,Dry Hard Cider,Cider,411
1831,0.07,105.0,918,Frankenlou's IPA,American IPA,494
1832,0.07,55.0,917,Becky's Black Cat Porter,American Porter,494
1833,0.077,40.0,2250,Seventh Son of a Seventh Son,American Strong Ale,183
1834,0.053,20.0,1768,Stone Fort Brown Ale,English Brown Ale,183
1835,0.077,40.0,1767,Seventh Son Hopped Red Ale,American Amber / Red Ale,183
