,abv,ibu,id,beer_name,style,brewery_id,brewery_name,city,state
411,0.056,,2240,Rye Porter,American Porter,10,Brewery Vivant,Grand Rapids, MI
412,0.099,,2137,Wizard Burial Ground,Quadrupel (Quad),10,Brewery Vivant,Grand Rapids, MI
413,0.051,,2101,Smoky Wheat,Rauchbier,10,Brewery Vivant,Grand Rapids, MI
414,0.062,,2092,BRIPA,Belgian IPA,10,Brewery Vivant,Grand Rapids, MI
415,0.062,,2091,Mela,Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
416,0.053,,2086,W.I.P.A Snappa,Belgian IPA,10,Brewery Vivant,Grand Rapids, MI
417,0.063,,2023,Pepper in the Rye,Rye Beer,10,Brewery Vivant,Grand Rapids, MI
418,0.064,,2006,Moe Lasses',American Stout,10,Brewery Vivant,Grand Rapids, MI
419,0.07,,1997,Pumpkin Tart,Fruit / Vegetable Beer,10,Brewery Vivant,Grand Rapids, MI
420,0.067,,1977,Undertaker,Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
421,0.067,,1976,Undertaker (2014),Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
422,0.05,,1974,Coq D'Or,Belgian Pale Ale,10,Brewery Vivant,Grand Rapids, MI
423,0.06,,1973,North French,Bière de Garde,10,Brewery Vivant,Grand Rapids, MI
424,0.065,,1959,Agent a Deux,Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
425,0.045,,1958,Belgian Wit,Witbier,10,Brewery Vivant,Grand Rapids, MI
426,0.063,,1949,Pothole Stout,American Stout,10,Brewery Vivant,Grand Rapids, MI
427,0.093,,1947,Tree Bucket,Belgian IPA,10,Brewery Vivant,Grand Rapids, MI
428,0.073,,1785,Le Flaneur Ale,American Wild Ale,10,Brewery Vivant,Grand Rapids, MI
429,0.056,,1651,Maize & Blueberry,Fruit / Vegetable Beer,10,Brewery Vivant,Grand Rapids, MI
430,0.093,,1443,Trebuchet Double IPA,American Double / Imperial IPA,10,Brewery Vivant,Grand Rapids, MI
431,0.065,,1352,Contemplation,Bière de Garde,10,Brewery Vivant,Grand Rapids, MI
432,0.05,,1267,Black Rabbit,American Black Ale,10,Brewery Vivant,Grand Rapids, MI
433,0.09,,1266,Zaison,Saison / Farmhouse Ale,10,Brewery Vivant,Grand Rapids, MI
434,0.08199999999999999,,1178,Vivant Tripel,Tripel,10,Brewery Vivant,Grand Rapids, MI
435,0.098,,1136,Tart Side of the Moon,Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
436,0.06,,1044,Big Red Coq,American Amber / Red Ale,10,Brewery Vivant,Grand Rapids, MI
437,0.099,,1033,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),10,Brewery Vivant,Grand Rapids, MI
438,0.095,,1031,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,10,Brewery Vivant,Grand Rapids, MI
